,Title,Abstract,Link
10,Step Change Improvement in ADMET Prediction with PotentialNet Deep Featurization,"The Absorption, Distribution, Metabolism, Elimination, and Toxicity (ADMET)
properties of drug candidates are estimated to account for up to 50% of all
clinical trial failures. Predicting ADMET properties has therefore been of
great interest to the cheminformatics and medicinal chemistry communities in
recent decades. Traditional cheminformatics approaches, whether the learner is
a random forest or a deep neural network, leverage fixed fingerprint feature
representations of molecules. In contrast, in this paper, we learn the features
most relevant to each chemical task at hand by representing each molecule
explicitly as a graph, where each node is an atom and each edge is a bond. By
applying graph convolutions to this explicit molecular representation, we
achieve, to our knowledge, unprecedented accuracy in prediction of ADMET
properties. By challenging our methodology with rigorous cross-validation
procedures and prospective analyses, we show that deep featurization better
enables molecular predictors to not only interpolate but also extrapolate to
new regions of chemical space.",http://arxiv.org/abs/1903.11789v1
11,Are 2D fingerprints still valuable for drug discovery?,"Recently, molecular fingerprints extracted from three-dimensional (3D)
structures using advanced mathematics, such as algebraic topology, differential
geometry, and graph theory have been paired with efficient machine learning,
especially deep learning algorithms to outperform other methods in drug
discovery applications and competitions. This raises the question of whether
classical 2D fingerprints are still valuable in computer-aided drug discovery.
This work considers 23 datasets associated with four typical problems, namely
protein-ligand binding, toxicity, solubility and partition coefficient to
assess the performance of eight 2D fingerprints. Advanced machine learning
algorithms including random forest, gradient boosted decision tree, single-task
deep neural network and multitask deep neural network are employed to construct
efficient 2D-fingerprint based models. Additionally, appropriate consensus
models are built to further enhance the performance of 2D-fingerprintbased
methods. It is demonstrated that 2D-fingerprint-based models perform as well as
the state-of-the-art 3D structure-based models for the predictions of toxicity,
solubility, partition coefficient and protein-ligand binding affinity based on
only ligand information. However, 3D structure-based models outperform 2D
fingerprint-based methods in complex-based protein-ligand binding affinity
predictions.",http://arxiv.org/abs/1911.00930v1
12,Machine Learning Small Molecule Properties in Drug Discovery,"Machine learning (ML) is a promising approach for predicting small molecule
properties in drug discovery. Here, we provide a comprehensive overview of
various ML methods introduced for this purpose in recent years. We review a
wide range of properties, including binding affinities, solubility, and ADMET
(Absorption, Distribution, Metabolism, Excretion, and Toxicity). We discuss
existing popular datasets and molecular descriptors and embeddings, such as
chemical fingerprints and graph-based neural networks. We highlight also
challenges of predicting and optimizing multiple properties during hit-to-lead
and lead optimization stages of drug discovery and explore briefly possible
multi-objective optimization techniques that can be used to balance diverse
properties while optimizing lead candidates. Finally, techniques to provide an
understanding of model predictions, especially for critical decision-making in
drug discovery are assessed. Overall, this review provides insights into the
landscape of ML models for small molecule property predictions in drug
discovery. So far, there are multiple diverse approaches, but their
performances are often comparable. Neural networks, while more flexible, do not
always outperform simpler models. This shows that the availability of
high-quality training data remains crucial for training accurate models and
there is a need for standardized benchmarks, additional performance metrics,
and best practices to enable richer comparisons between the different
techniques and models that can shed a better light on the differences between
the many techniques.",http://arxiv.org/abs/2308.12354v1
13,BERT Learns (and Teaches) Chemistry,"Modern computational organic chemistry is becoming increasingly data-driven.
There remain a large number of important unsolved problems in this area such as
product prediction given reactants, drug discovery, and metric-optimized
molecule synthesis, but efforts to solve these problems using machine learning
have also increased in recent years. In this work, we propose the use of
attention to study functional groups and other property-impacting molecular
substructures from a data-driven perspective, using a transformer-based model
(BERT) on datasets of string representations of molecules and analyzing the
behavior of its attention heads. We then apply the representations of
functional groups and atoms learned by the model to tackle problems of
toxicity, solubility, drug-likeness, and synthesis accessibility on smaller
datasets using the learned representations as features for graph convolution
and attention models on the graph structure of molecules, as well as
fine-tuning of BERT. Finally, we propose the use of attention visualization as
a helpful tool for chemistry practitioners and students to quickly identify
important substructures in various chemical properties.",http://arxiv.org/abs/2007.16012v1
14,Graph2MDA: a multi-modal variational graph embedding model for predicting microbe-drug associations,"Accumulated clinical studies show that microbes living in humans interact
closely with human hosts, and get involved in modulating drug efficacy and drug
toxicity. Microbes have become novel targets for the development of
antibacterial agents. Therefore, screening of microbe-drug associations can
benefit greatly drug research and development. With the increase of microbial
genomic and pharmacological datasets, we are greatly motivated to develop an
effective computational method to identify new microbe-drug associations. In
this paper, we proposed a novel method, Graph2MDA, to predict microbe-drug
associations by using variational graph autoencoder (VGAE). We constructed
multi-modal attributed graphs based on multiple features of microbes and drugs,
such as molecular structures, microbe genetic sequences, and function
annotations. Taking as input the multi-modal attribute graphs, VGAE was trained
to learn the informative and interpretable latent representations of each node
and the whole graph, and then a deep neural network classifier was used to
predict microbe-drug associations. The hyperparameter analysis and model
ablation studies showed the sensitivity and robustness of our model. We
evaluated our method on three independent datasets and the experimental results
showed that our proposed method outperformed six existing state-of-the-art
methods. We also explored the meaningness of the learned latent representations
of drugs and found that the drugs show obvious clustering patterns that are
significantly consistent with drug ATC classification. Moreover, we conducted
case studies on two microbes and two drugs and found 75\%-95\% predicted
associations have been reported in PubMed literature. Our extensive performance
evaluations validated the effectiveness of our proposed method.\",http://arxiv.org/abs/2108.06338v1
15,Benchmarking Toxic Molecule Classification using Graph Neural Networks and Few Shot Learning,"Traditional methods like Graph Convolutional Networks (GCNs) face challenges
with limited data and class imbalance, leading to suboptimal performance in
graph classification tasks during toxicity prediction of molecules as a whole.
To address these issues, we harness the power of Graph Isomorphic Networks,
Multi Headed Attention and Free Large-scale Adversarial Augmentation separately
on Graphs for precisely capturing the structural data of molecules and their
toxicological properties. Additionally, we incorporate Few-Shot Learning to
improve the model's generalization with limited annotated samples. Extensive
experiments on a diverse toxicology dataset demonstrate that our method
achieves an impressive state-of-art AUC-ROC value of 0.816, surpassing the
baseline GCN model by 11.4%. This highlights the significance of our proposed
methodology and Few Shot Learning in advancing Toxic Molecular Classification,
with the potential to enhance drug discovery and environmental risk assessment
processes.",http://arxiv.org/abs/2311.13490v1
16,The Graph Convolutional Network with Multi-representation Alignment for Drug Synergy Prediction,"Drug combination refers to the use of two or more drugs to treat a specific
disease at the same time. It is currently the mainstream way to treat complex
diseases. Compared with single drugs, drug combinations have better efficacy
and can better inhibit toxicity and drug resistance. The computational model
based on deep learning concatenates the representation of multiple drugs and
the corresponding cell line feature as input, and the output is whether the
drug combination can have an inhibitory effect on the cell line. However, this
strategy of concatenating multiple representations has the following defects:
the alignment of drug representation and cell line representation is ignored,
resulting in the synergistic relationship not being reflected positionally in
the embedding space. Moreover, the alignment measurement function in deep
learning cannot be suitable for drug synergy prediction tasks due to
differences in input types. Therefore, in this work, we propose a graph
convolutional network with multi-representation alignment (GCNMRA) for
predicting drug synergy. In the GCNMRA model, we designed a
multi-representation alignment function suitable for the drug synergy
prediction task so that the positional relationship between drug
representations and cell line representation is reflected in the embedding
space. In addition, the vector modulus of drug representations and cell line
representation is considered to improve the accuracy of calculation results and
accelerate model convergence. Finally, many relevant experiments were run on
multiple drug synergy datasets to verify the effectiveness of the above
innovative elements and the excellence of the GCNMRA model.",http://arxiv.org/abs/2311.16207v1
17,Learning Graph-Level Representation for Drug Discovery,"Predicating macroscopic influences of drugs on human body, like efficacy and
toxicity, is a central problem of small-molecule based drug discovery.
Molecules can be represented as an undirected graph, and we can utilize graph
convolution networks to predication molecular properties. However, graph
convolutional networks and other graph neural networks all focus on learning
node-level representation rather than graph-level representation. Previous
works simply sum all feature vectors for all nodes in the graph to obtain the
graph feature vector for drug predication. In this paper, we introduce a dummy
super node that is connected with all nodes in the graph by a directed edge as
the representation of the graph and modify the graph operation to help the
dummy super node learn graph-level feature. Thus, we can handle graph-level
classification and regression in the same way as node-level classification and
regression. In addition, we apply focal loss to address class imbalance in drug
datasets. The experiments on MoleculeNet show that our method can effectively
improve the performance of molecular properties predication.",http://arxiv.org/abs/1709.03741v2
18,Multi-objective generative AI for designing novel brain-targeting small molecules,"The strict selectivity of the blood-brain barrier (BBB) represents one of the
most formidable challenges to successful central nervous system (CNS) drug
delivery. Computational methods to generate BBB permeable drugs in silico may
be valuable tools in the CNS drug design pipeline. However, in real-world
applications, BBB penetration alone is insufficient; rather, after transiting
the BBB, molecules must bind to a specific target or receptor in the brain and
must also be safe and non-toxic. To discover small molecules that concurrently
satisfy these constraints, we use multi-objective generative AI to synthesize
drug-like BBB-permeable small molecules. Specifically, we computationally
synthesize molecules with predicted binding affinity against dopamine receptor
D2, the primary target for many clinically effective antipsychotic drugs. After
training several graph neural network-based property predictors, we adapt
SyntheMol (Swanson et al., 2024), a recently developed Monte Carlo Tree
Search-based algorithm for antibiotic design, to perform a multi-objective
guided traversal over an easily synthesizable molecular space. We design a
library of 26,581 novel and diverse small molecules containing hits with high
predicted BBB permeability and favorable predicted safety and toxicity
profiles, and that could readily be synthesized for experimental validation in
the wet lab. We also validate top scoring molecules with molecular docking
simulation against the D2 receptor and demonstrate predicted binding affinity
on par with risperidone, a clinically prescribed D2-targeting antipsychotic. In
the future, the SyntheMol-based computational approach described here may
enable the discovery of novel neurotherapeutics for currently intractable
disorders of the CNS.",http://arxiv.org/abs/2407.00004v1
19,Deep Learning Based Regression and Multi-class Models for Acute Oral Toxicity Prediction with Automatic Chemical Feature Extraction,"For quantitative structure-property relationship (QSPR) studies in
chemoinformatics, it is important to get interpretable relationship between
chemical properties and chemical features. However, the predictive power and
interpretability of QSPR models are usually two different objectives that are
difficult to achieve simultaneously. A deep learning architecture using
molecular graph encoding convolutional neural networks (MGE-CNN) provided a
universal strategy to construct interpretable QSPR models with high predictive
power. Instead of using application-specific preset molecular descriptors or
fingerprints, the models can be resolved using raw and pertinent features
without manual intervention or selection. In this study, we developed acute
oral toxicity (AOT) models of compounds using the MGE-CNN architecture as a
case study. Three types of high-level predictive models: regression model
(deepAOT-R), multi-classification model (deepAOT-C) and multi-task model
(deepAOT-CR) for AOT evaluation were constructed. These models highly
outperformed previously reported models. For the two external datasets
containing 1673 (test set I) and 375 (test set II) compounds, the R2 and mean
absolute error (MAE) of deepAOT-R on the test set I were 0.864 and 0.195, and
the prediction accuracy of deepAOT-C was 95.5% and 96.3% on the test set I and
II, respectively. The two external prediction accuracy of deepAOT-CR is 95.0%
and 94.1%, while the R2 and MAE are 0.861 and 0.204 for test set I,
respectively.",http://arxiv.org/abs/1704.04718v3
20,Reliable Graph Neural Networks for Drug Discovery Under Distributional Shift,"The concern of overconfident mis-predictions under distributional shift
demands extensive reliability research on Graph Neural Networks used in
critical tasks in drug discovery. Here we first introduce CardioTox, a
real-world benchmark on drug cardio-toxicity to facilitate such efforts. Our
exploratory study shows overconfident mis-predictions are often distant from
training data. That leads us to develop distance-aware GNNs: GNN-SNGP. Through
evaluation on CardioTox and three established benchmarks, we demonstrate
GNN-SNGP's effectiveness in increasing distance-awareness, reducing
overconfident mis-predictions and making better calibrated predictions without
sacrificing accuracy performance. Our ablation study further reveals the
representation learned by GNN-SNGP improves distance-preservation over its base
architecture and is one major factor for improvements.",http://arxiv.org/abs/2111.12951v1
21,Expressive Graph Informer Networks,"Applying machine learning to molecules is challenging because of their
natural representation as graphs rather than vectors.Several architectures have
been recently proposed for deep learning from molecular graphs, but they suffer
from informationbottlenecks because they only pass information from a graph
node to its direct neighbors. Here, we introduce a more expressiveroute-based
multi-attention mechanism that incorporates features from routes between node
pairs. We call the resulting methodGraph Informer. A single network layer can
therefore attend to nodes several steps away. We show empirically that the
proposedmethod compares favorably against existing approaches in two prediction
tasks: (1) 13C Nuclear Magnetic Resonance (NMR)spectra, improving the
state-of-the-art with an MAE of 1.35 ppm and (2) predicting drug bioactivity
and toxicity. Additionally, wedevelop a variant called injective Graph Informer
that isprovablyas powerful as the Weisfeiler-Lehman test for graph
isomorphism.Furthermore, we demonstrate that the route information allows the
method to be informed about thenonlocal topologyof the graphand, thus, even go
beyond the capabilities of the Weisfeiler-Lehman test.",http://arxiv.org/abs/1907.11318v2
22,Improving Molecular Properties Prediction Through Latent Space Fusion,"Pre-trained Language Models have emerged as promising tools for predicting
molecular properties, yet their development is in its early stages,
necessitating further research to enhance their efficacy and address challenges
such as generalization and sample efficiency. In this paper, we present a
multi-view approach that combines latent spaces derived from state-of-the-art
chemical models. Our approach relies on two pivotal elements: the embeddings
derived from MHG-GNN, which represent molecular structures as graphs, and
MoLFormer embeddings rooted in chemical language. The attention mechanism of
MoLFormer is able to identify relations between two atoms even when their
distance is far apart, while the GNN of MHG-GNN can more precisely capture
relations among multiple atoms closely located. In this work, we demonstrate
the superior performance of our proposed multi-view approach compared to
existing state-of-the-art methods, including MoLFormer-XL, which was trained on
1.1 billion molecules, particularly in intricate tasks such as predicting
clinical trial drug toxicity and inhibiting HIV replication. We assessed our
approach using six benchmark datasets from MoleculeNet, where it outperformed
competitors in five of them. Our study highlights the potential of latent space
fusion and feature integration for advancing molecular property prediction. In
this work, we use small versions of MHG-GNN and MoLFormer, which opens up an
opportunity for further improvement when our approach uses a larger-scale
dataset.",http://arxiv.org/abs/2310.13802v1
23,Discovering Molecular Functional Groups Using Graph Convolutional Neural Networks,"Functional groups (FGs) are molecular substructures that are served as a
foundation for analyzing and predicting chemical properties of molecules.
Automatic discovery of FGs will impact various fields of research, including
medicinal chemistry and material sciences, by reducing the amount of lab
experiments required for discovery or synthesis of new molecules. In this
paper, we investigate methods based on graph convolutional neural networks
(GCNNs) for localizing FGs that contribute to specific chemical properties of
interest. In our framework, molecules are modeled as undirected relational
graphs with atoms as nodes and bonds as edges. Using this relational graph
structure, we trained GCNNs in a supervised way on experimentally-validated
molecular training sets to predict specific chemical properties, e.g.,
toxicity. Upon learning a GCNN, we analyzed its activation patterns to
automatically identify FGs using four different explainability methods that we
have developed: gradient-based saliency maps, Class Activation Mapping (CAM),
gradient-weighted CAM (Grad-CAM), and Excitation Back-Propagation. Although
these methods are originally derived for convolutional neural networks (CNNs),
we adapt them to develop the corresponding suitable versions for GCNNs. We
evaluated the contrastive power of these methods with respect to the
specificity of the identified molecular substructures and their relevance for
chemical functions. Grad-CAM had the highest contrastive power and generated
qualitatively the best FGs. This work paves the way for automatic analysis and
design of new molecules.",http://arxiv.org/abs/1812.00265v3
24,Interpretable Molecular Graph Generation via Monotonic Constraints,"Designing molecules with specific properties is a long-lasting research
problem and is central to advancing crucial domains such as drug discovery and
material science. Recent advances in deep graph generative models treat
molecule design as graph generation problems which provide new opportunities
toward the breakthrough of this long-lasting problem. Existing models, however,
have many shortcomings, including poor interpretability and controllability
toward desired molecular properties. This paper focuses on new methodologies
for molecule generation with interpretable and controllable deep generative
models, by proposing new monotonically-regularized graph variational
autoencoders. The proposed models learn to represent the molecules with latent
variables and then learn the correspondence between them and molecule
properties parameterized by polynomial functions. To further improve the
intepretability and controllability of molecule generation towards desired
properties, we derive new objectives which further enforce monotonicity of the
relation between some latent variables and target molecule properties such as
toxicity and clogP. Extensive experimental evaluation demonstrates the
superiority of the proposed framework on accuracy, novelty, disentanglement,
and control towards desired molecular properties. The code is open-source at
https://anonymous.4open.science/r/MDVAE-FD2C.",http://arxiv.org/abs/2203.00412v1
25,M-Evolve: Structural-Mapping-Based Data Augmentation for Graph Classification,"Graph classification, which aims to identify the category labels of graphs,
plays a significant role in drug classification, toxicity detection, protein
analysis etc. However, the limitation of scale in the benchmark datasets makes
it easy for graph classification models to fall into over-fitting and
undergeneralization. To improve this, we introduce data augmentation on graphs
(i.e. graph augmentation) and present four methods:random mapping,
vertex-similarity mapping, motif-random mapping and motif-similarity mapping,
to generate more weakly labeled data for small-scale benchmark datasets via
heuristic transformation of graph structures. Furthermore, we propose a generic
model evolution framework, named M-Evolve, which combines graph augmentation,
data filtration and model retraining to optimize pre-trained graph classifiers.
Experiments on six benchmark datasets demonstrate that the proposed framework
helps existing graph classification models alleviate over-fitting and
undergeneralization in the training on small-scale benchmark datasets, which
successfully yields an average improvement of 3 - 13% accuracy on graph
classification tasks.",http://arxiv.org/abs/2007.05700v4
26,A Review of Biomedical Datasets Relating to Drug Discovery: A Knowledge Graph Perspective,"Drug discovery and development is a complex and costly process. Machine
learning approaches are being investigated to help improve the effectiveness
and speed of multiple stages of the drug discovery pipeline. Of these, those
that use Knowledge Graphs (KG) have promise in many tasks, including drug
repurposing, drug toxicity prediction and target gene-disease prioritisation.
In a drug discovery KG, crucial elements including genes, diseases and drugs
are represented as entities, whilst relationships between them indicate an
interaction. However, to construct high-quality KGs, suitable data is required.
In this review, we detail publicly available sources suitable for use in
constructing drug discovery focused KGs. We aim to help guide machine learning
and KG practitioners who are interested in applying new techniques to the drug
discovery field, but who may be unfamiliar with the relevant data sources. The
datasets are selected via strict criteria, categorised according to the primary
type of information contained within and are considered based upon what
information could be extracted to build a KG. We then present a comparative
analysis of existing public drug discovery KGs and a evaluation of selected
motivating case studies from the literature. Additionally, we raise numerous
and unique challenges and issues associated with the domain and its datasets,
whilst also highlighting key future research directions. We hope this review
will motivate KGs use in solving key and emerging questions in the drug
discovery domain.",http://arxiv.org/abs/2102.10062v4
